% Model:              Ellipse3.mph
% Version:            COMSOL 6.3.0.290
% Date:               Oct 26 2025, 11:01
% Dimension:          2
% Nodes:              10201
% Expressions:        5
% Description: Displacement field, X component, Displacement field, Y component, Strain tensor, XX component, Strain tensor, YY component, Strain tensor, XY component
% Length unit:        m
% X                       Y                        u (m)                    v (m)                    solid.eXX (1)            solid.eYY (1)            solid.eXY (1)
-0.7                      0.98                     -0.0020929015742968573   -8.809200288478151E-4    0.0030263925866673195    -9.540211031912304E-4    1.0744252166780544E-6
-0.6799999999999999       1                        -0.002032329596427002    -9.000000000000001E-4    0.003026544856485338     -9.518378630289556E-4    -5.470282877136541E-9
-1                        0.6600000000000001       -0.0030000000000000005   -5.752207124713797E-4    0.0029697913988662914    -9.333373991520627E-4    2.0060904901951965E-8
-0.98                     0.6799999999999999       -0.0029404817398093475   -5.939281414499945E-4    0.0029759960556174033    -9.373402298649327E-4    2.9315732697201766E-6
-0.96                     0.7                      -0.002880731007151196    -6.127172515729633E-4    0.0029819966904186257    -9.411276878629211E-4    5.347889364519405E-6
-0.94                     0.72                     -0.0028207682407999928   -6.315871957122323E-4    0.002987761230222291     -9.446543940549304E-4    7.26716083442278E-6
-0.9199999999999999       0.74                     -0.002760614971532183    -6.50535664970506E-4     0.002993250308362764     -9.47874392262469E-4     8.694928218723057E-6
-0.8999999999999999       0.76                     -0.0027002937479799704   -6.6955880909094E-4      0.002998422339866145     -9.507418436087881E-4    9.646284920451436E-6
-0.8799999999999999       0.78                     -0.0026398279508249353   -6.886510985093499E-4    0.0030032353279862193    -9.532132485412249E-4    1.0145729283813493E-5
-0.8599999999999999       0.8                      -0.002579241552726655    -7.078052393020925E-4    0.0030076494147526917    -9.552496605947982E-4    1.0227101666421037E-5
-0.8400000000000001       0.8200000000000001       -0.0025185588275889004   -7.270121452818347E-4    0.003011629293932306     -9.56818731598575E-4     9.933030004872015E-6
-0.8200000000000001       0.8400000000000001       -0.0024578040218752556   -7.46260971090885E-4     0.0030151464128516567    -9.578964887767688E-4    9.313939112642772E-6
-0.8                      0.8600000000000001       -0.0023970010031471468   -7.655392066317751E-4    0.0030181808483483084    -9.584687358245534E-4    8.426668172771776E-6
-0.78                     0.8800000000000001       -0.002336172902378635    -7.848328295018951E-4    0.0030207227579586112    -9.58531988741069E-4     7.332775756328906E-6
