% Model:              Beam.mph
% Version:            COMSOL 6.3.0.290
% Date:               Jun 14 2025, 10:50
% Dimension:          2
% Nodes:              1000
% Expressions:        5
% Description: Displacement magnitude, Rotation field, Z component, Bending moment, local z direction, Shear force, local y direction, Normal strain at the first calculation point
% Length unit:        m
% X                       Y                        beam.disp (m)            thz (rad)                beam.Mzl (N*m)           beam.Tyl (N)             beam.e_1 (1)
0.1995                    0                        4.3573088367358136E-4    0.0035243889926805895    24.047243643329782       434.79772259840877       1.4428346185997866E-4
0.2005                    0                        4.392581409935902E-4     0.0035301084554282703    23.61744592070855        424.7977226055375        1.4170467552425127E-4
0.2015                    0                        4.427910665506201E-4     0.00353572566672253      23.192648198093014       424.7977226055375        1.3915588918855804E-4
0.2025                    0                        4.4632955834321745E-4    0.003541240926563359     22.767850475499912       424.7977226055375        1.3660710285299943E-4
0.2035                    0                        4.498735144199289E-4     0.0035466542349507713    22.34305275290418        424.7977226055375        1.3405831651742503E-4
0.2045                    0                        4.5342283282930117E-4    0.00355196559188475      21.91825503029752        424.7977226055375        1.315095301817851E-4
0.2055                    0                        4.5697741161988055E-4    0.00355717499736532      21.493457307693316       424.7977226055375        1.2896074384615986E-4
0.2065                    0                        4.6053714884021393E-4    0.003562282451392454     21.068659585091655       424.7977226055375        1.264119575105499E-4
0.2075                    0                        4.641019425388477E-4     0.00356728795396615      20.643861862492773       424.7977226055375        1.238631711749566E-4
0.2085                    0                        4.6767169076432846E-4    0.0035721915050864403    20.219064139878622       424.7977226055375        1.2131438483927171E-4
0.2095                    0                        4.7124629156520273E-4    0.003576993104753303     19.794266417291766       424.7977226055375        1.1876559850375058E-4
0.2105                    0                        4.7482564304001724E-4    0.0035816930529667407    19.374468694689327       414.79772260153436       1.1624681216813594E-4
0.2115                    0                        4.784096444373184E-4     0.0035862931497267518    18.95967097207269        414.79772260153436       1.1375802583243612E-4
0.2125                    0                        4.819981961556529E-4     0.0035907936950333457    18.544873249477448       414.79772260153436       1.1126923949686466E-4
0.2135                    0                        4.8559119864356737E-4    0.003595194688886511     18.130075526874947       414.79772260153436       1.0878045316124967E-4
0.2145                    0                        4.891885523496081E-4     0.003599496131286248     17.7152778042769         414.79772260153436       1.0629166682566138E-4
0.2155                    0                        4.92790157722322E-4      0.0036036980222325502    17.300480081672525       414.79772260153436       1.0380288049003511E-4
